,0,1
496,"End of loanDec 27, 2008",1
497,"End of loanDec 27, 2009",2
498,"End of loanDec 27, 2012",3
499,"End of loanDec 27, 2013",1
500,"End of loanDec 27, 2014",1
501,"End of loanDec 27, 2015",2
502,"End of loanDec 28, 1995",2
503,"End of loanDec 28, 2005",2
504,"End of loanDec 28, 2006",1
505,"End of loanDec 28, 2008",2
506,"End of loanDec 28, 2009",2
507,"End of loanDec 28, 2011",3
508,"End of loanDec 28, 2012",5
509,"End of loanDec 28, 2013",4
510,"End of loanDec 28, 2014",4
511,"End of loanDec 28, 2015",3
512,"End of loanDec 28, 2017",4
513,"End of loanDec 28, 2018",1
514,"End of loanDec 29, 1994",1
515,"End of loanDec 29, 2002",2
516,"End of loanDec 29, 2003",2
517,"End of loanDec 29, 2006",1
518,"End of loanDec 29, 2007",1
519,"End of loanDec 29, 2008",2
520,"End of loanDec 29, 2009",1
521,"End of loanDec 29, 2010",1
522,"End of loanDec 29, 2011",1
523,"End of loanDec 29, 2012",8
524,"End of loanDec 29, 2013",6
525,"End of loanDec 29, 2014",3
526,"End of loanDec 29, 2016",1
527,"End of loanDec 29, 2018",3
528,"End of loanDec 3, 2006",2
529,"End of loanDec 3, 2009",1
530,"End of loanDec 3, 2012",3
531,"End of loanDec 3, 2014",2
532,"End of loanDec 3, 2017",1
533,"End of loanDec 3, 2020",1
534,"End of loanDec 30, 1993",1
535,"End of loanDec 30, 1994",1
536,"End of loanDec 30, 2000",2
537,"End of loanDec 30, 2008",3
538,"End of loanDec 30, 2009",1
539,"End of loanDec 30, 2010",2
540,"End of loanDec 30, 2011",3
541,"End of loanDec 30, 2012",2
542,"End of loanDec 30, 2013",4
543,"End of loanDec 30, 2014",5
544,"End of loanDec 31, 1992",9
545,"End of loanDec 31, 1993",16
546,"End of loanDec 31, 1994",14
547,"End of loanDec 31, 1995",16
548,"End of loanDec 31, 1996",13
549,"End of loanDec 31, 1997",10
550,"End of loanDec 31, 1998",23
551,"End of loanDec 31, 1999",26
552,"End of loanDec 31, 2000",37
553,"End of loanDec 31, 2001",52
554,"End of loanDec 31, 2002",26
555,"End of loanDec 31, 2003",65
556,"End of loanDec 31, 2004",60
557,"End of loanDec 31, 2005",79
558,"End of loanDec 31, 2006",103
559,"End of loanDec 31, 2007",93
560,"End of loanDec 31, 2008",106
561,"End of loanDec 31, 2009",149
562,"End of loanDec 31, 2010",162
563,"End of loanDec 31, 2011",107
564,"End of loanDec 31, 2012",73
565,"End of loanDec 31, 2013",71
566,"End of loanDec 31, 2014",55
567,"End of loanDec 31, 2015",45
568,"End of loanDec 31, 2016",54
569,"End of loanDec 31, 2017",64
570,"End of loanDec 31, 2018",56
571,"End of loanDec 31, 2019",58
572,"End of loanDec 31, 2020",31
573,"End of loanDec 31, 2021",34
574,"End of loanDec 4, 2005",2
575,"End of loanDec 4, 2014",1
576,"End of loanDec 5, 2003",1
577,"End of loanDec 5, 2004",2
578,"End of loanDec 5, 2015",1
579,"End of loanDec 6, 2012",1
580,"End of loanDec 6, 2014",2
581,"End of loanDec 6, 2016",1
582,"End of loanDec 7, 2003",1
583,"End of loanDec 7, 2010",1
584,"End of loanDec 7, 2012",2
585,"End of loanDec 7, 2014",1
586,"End of loanDec 7, 2015",2
587,"End of loanDec 7, 2018",1
588,"End of loanDec 7, 2020",1
589,"End of loanDec 8, 1999",2
590,"End of loanDec 8, 2002",3
591,"End of loanDec 8, 2012",2
592,"End of loanDec 8, 2016",1
593,"End of loanDec 8, 2017",1
594,"End of loanDec 9, 2001",2
595,"End of loanDec 9, 2003",1
596,"End of loanDec 9, 2010",1
597,"End of loanDec 9, 2012",2
598,"End of loanDec 9, 2013",2
599,"End of loanDec 9, 2018",1
600,"End of loanFeb 1, 1993",2
601,"End of loanFeb 1, 1994",3
602,"End of loanFeb 1, 1995",2
603,"End of loanFeb 1, 1996",4
604,"End of loanFeb 1, 1997",6
605,"End of loanFeb 1, 1998",10
606,"End of loanFeb 1, 1999",10
607,"End of loanFeb 1, 2000",14
608,"End of loanFeb 1, 2001",14
609,"End of loanFeb 1, 2002",18
610,"End of loanFeb 1, 2003",8
611,"End of loanFeb 1, 2004",14
612,"End of loanFeb 1, 2005",20
613,"End of loanFeb 1, 2006",21
614,"End of loanFeb 1, 2007",22
615,"End of loanFeb 1, 2008",22
616,"End of loanFeb 1, 2009",25
617,"End of loanFeb 1, 2010",21
618,"End of loanFeb 1, 2011",30
619,"End of loanFeb 1, 2012",28
620,"End of loanFeb 1, 2013",4
621,"End of loanFeb 1, 2014",1
622,"End of loanFeb 1, 2015",18
623,"End of loanFeb 1, 2016",13
624,"End of loanFeb 1, 2017",3
625,"End of loanFeb 1, 2019",1
626,"End of loanFeb 1, 2020",1
627,"End of loanFeb 1, 2021",3
628,"End of loanFeb 10, 1994",2
629,"End of loanFeb 10, 2000",3
630,"End of loanFeb 10, 2005",1
631,"End of loanFeb 10, 2010",1
632,"End of loanFeb 10, 2012",1
633,"End of loanFeb 10, 2013",4
634,"End of loanFeb 10, 2014",3
635,"End of loanFeb 10, 2015",2
636,"End of loanFeb 10, 2017",1
637,"End of loanFeb 10, 2020",1
638,"End of loanFeb 10, 2021",1
639,"End of loanFeb 11, 1998",2
640,"End of loanFeb 11, 2001",1
641,"End of loanFeb 11, 2002",1
642,"End of loanFeb 11, 2013",2
643,"End of loanFeb 11, 2014",1
644,"End of loanFeb 11, 2015",1
645,"End of loanFeb 12, 2006",2
646,"End of loanFeb 12, 2015",1
647,"End of loanFeb 12, 2018",1
648,"End of loanFeb 13, 1999",3
649,"End of loanFeb 13, 2003",3
650,"End of loanFeb 13, 2006",1
651,"End of loanFeb 13, 2011",1
652,"End of loanFeb 13, 2012",1
653,"End of loanFeb 13, 2016",1
654,"End of loanFeb 14, 1996",2
655,"End of loanFeb 14, 2016",4
656,"End of loanFeb 14, 2018",3
657,"End of loanFeb 15, 2003",1
658,"End of loanFeb 15, 2012",6
659,"End of loanFeb 15, 2013",1
660,"End of loanFeb 15, 2014",1
661,"End of loanFeb 15, 2015",2
662,"End of loanFeb 15, 2019",1
663,"End of loanFeb 16, 2003",1
664,"End of loanFeb 16, 2008",2
665,"End of loanFeb 16, 2009",1
666,"End of loanFeb 16, 2012",2
667,"End of loanFeb 16, 2015",2
668,"End of loanFeb 16, 2016",1
669,"End of loanFeb 17, 2003",2
670,"End of loanFeb 17, 2004",2
671,"End of loanFeb 17, 2005",2
672,"End of loanFeb 17, 2009",1
673,"End of loanFeb 17, 2010",1
674,"End of loanFeb 17, 2012",1
675,"End of loanFeb 17, 2014",1
676,"End of loanFeb 17, 2015",2
677,"End of loanFeb 17, 2020",2
678,"End of loanFeb 18, 1993",2
679,"End of loanFeb 18, 1999",1
680,"End of loanFeb 18, 2000",2
681,"End of loanFeb 18, 2004",1
682,"End of loanFeb 18, 2007",1
683,"End of loanFeb 18, 2008",1
684,"End of loanFeb 18, 2012",1
685,"End of loanFeb 18, 2013",2
686,"End of loanFeb 18, 2014",1
687,"End of loanFeb 18, 2015",1
688,"End of loanFeb 18, 2016",1
689,"End of loanFeb 18, 2019",1
690,"End of loanFeb 19, 1995",1
691,"End of loanFeb 19, 2012",1
692,"End of loanFeb 19, 2014",3
693,"End of loanFeb 19, 2015",3
694,"End of loanFeb 19, 2016",1
695,"End of loanFeb 19, 2018",1
696,"End of loanFeb 2, 2012",1
697,"End of loanFeb 2, 2013",2
698,"End of loanFeb 2, 2014",2
699,"End of loanFeb 2, 2015",6
700,"End of loanFeb 2, 2016",2
701,"End of loanFeb 2, 2017",4
702,"End of loanFeb 2, 2018",1
703,"End of loanFeb 20, 1999",1
704,"End of loanFeb 20, 2000",1
705,"End of loanFeb 20, 2006",1
706,"End of loanFeb 20, 2013",1
707,"End of loanFeb 20, 2018",1
708,"End of loanFeb 20, 2019",2
709,"End of loanFeb 21, 1996",2
710,"End of loanFeb 21, 2000",1
711,"End of loanFeb 21, 2001",3
712,"End of loanFeb 21, 2010",2
713,"End of loanFeb 21, 2015",2
714,"End of loanFeb 21, 2016",1
715,"End of loanFeb 21, 2020",1
716,"End of loanFeb 22, 1998",1
717,"End of loanFeb 22, 2004",1
718,"End of loanFeb 22, 2007",1
719,"End of loanFeb 22, 2010",1
720,"End of loanFeb 22, 2011",2
721,"End of loanFeb 22, 2014",1
722,"End of loanFeb 22, 2015",2
723,"End of loanFeb 22, 2016",1
724,"End of loanFeb 22, 2017",2
725,"End of loanFeb 22, 2019",4
726,"End of loanFeb 23, 2002",2
727,"End of loanFeb 23, 2005",2
728,"End of loanFeb 23, 2013",2
729,"End of loanFeb 23, 2014",1
730,"End of loanFeb 23, 2016",1
731,"End of loanFeb 24, 1998",2
732,"End of loanFeb 24, 2003",1
733,"End of loanFeb 24, 2012",3
734,"End of loanFeb 24, 2014",2
735,"End of loanFeb 24, 2015",1
736,"End of loanFeb 24, 2016",1
737,"End of loanFeb 24, 2018",1
738,"End of loanFeb 25, 1997",1
739,"End of loanFeb 25, 1998",1
740,"End of loanFeb 25, 1999",1
741,"End of loanFeb 25, 2005",1
742,"End of loanFeb 25, 2016",1
743,"End of loanFeb 25, 2019",1
744,"End of loanFeb 26, 2002",1
745,"End of loanFeb 26, 2006",1
746,"End of loanFeb 26, 2008",2
747,"End of loanFeb 26, 2009",1
748,"End of loanFeb 26, 2012",1
749,"End of loanFeb 26, 2013",1
750,"End of loanFeb 26, 2015",1
751,"End of loanFeb 26, 2016",1
752,"End of loanFeb 26, 2017",1
753,"End of loanFeb 27, 2000",2
754,"End of loanFeb 27, 2004",1
755,"End of loanFeb 27, 2005",1
756,"End of loanFeb 27, 2012",1
757,"End of loanFeb 27, 2014",1
758,"End of loanFeb 27, 2015",1
759,"End of loanFeb 27, 2016",1
760,"End of loanFeb 27, 2018",1
761,"End of loanFeb 27, 2019",2
762,"End of loanFeb 28, 1995",1
763,"End of loanFeb 28, 1998",3
764,"End of loanFeb 28, 1999",1
765,"End of loanFeb 28, 2005",4
766,"End of loanFeb 28, 2009",1
