,name
1477,David López
1478,Roberto
1479,Álvaro Vázquez
1480,Javi Fuego
1481,Pablo Piatti
1484,Nano Mesa
1485,Alejandro Gálvez
1486,Bebé
1487,Anaitz Arbilla
1488,Rubén Peña
1489,Pione Sisto
1490,José Naranjo
1491,Álvaro Lemos
1492,Fernando Amorebieta
1494,Raúl Albentosa
1495,Willian José
1496,Keko
1497,Michael Santos
1500,Mikel Villanueva
1501,Ezequiel Garay
1502,Nani
1503,Álvaro Medrán
1504,Mateo García
1505,Sergio León
1506,Fran Mérida
1507,Alin Tosca
1508,Walter Montoya
1509,Clément Lenglet
1510,Erik Morán
1513,Rui Silva
1515,Luis Hernández
1516,Moussa Konaté
1518,Prince Gouano
1524,Jonathan Cafú
1525,Otávio
1527,Lukas Lerager
1533,Baissama Sankoh
1539,Pedro Rebocho
1540,Lebogang Phiri
1541,Thiago Maia
1542,Luiz Araújo
1544,Thiago Mendes
1545,Edgar Ié
1548,Pape Cheikh
1549,Mariano Díaz
1550,Marcelo
1552,Marçal
1554,Tanguy Ndombélé
1555,Luiz Gustavo
1559,Keita Baldé
1564,Jordi Mboula
1566,Pedro Mendes
1568,Ciprian Tatarusanu
1572,Pierre Lees Melou
1575,Neymar
1576,Yuri Berchiche
1578,Faitout Maouassa
1580,Tomas Koubek
1581,Brandon
1583,Assane Dioussé
1584,Gabriel Silva
1585,Jorginho
1588,Nuno Da Costa
1590,Stiven Mendoza
1593,Oumar Solet
1601,James Rodríguez
1604,Yvon Mvogo
1611,Havard Nordtveit
1613,Jannes Horn
1614,Jorge Meré
1615,João Queirós
1617,Mathew Leckie
1626,Jiri Pavlenka
1629,Yuning Zhang
1631,Denis Zakaria
1633,Raúl Bobadilla
1634,Michaël Cuisance
1639,Pablo Insua
1642,Daichi Kamada
1643,Jonathan de Guzmán
1644,Carlos Salcedo
1645,Gelson Fernandes
1646,Lucas Alario
1649,Sergio Córdova
1651,Kilian Jakob
1656,Alexandru Maxim
1659,Ignacio Camacho
1660,Landry Dimata
1661,Divock Origi
1662,William
1668,Santiago Ascacíbar
1671,Aílton
1676,Manuel Akanji
1677,Sergio Gómez
1679,Vincent Koziello
1684,Marijan Cavar
1691,João Amaral
1692,Mato Milos
1693,Bruno Varela
1694,Raúl Silva
1695,Fransérgio
1696,Dyego Sousa
1697,Nikola Maras
1698,Jefferson
1699,Allano Lima
1700,Matheus Índio
1701,Matheus Jesus
1702,Eduardo
1703,Ibson Melo
1704,Óliver Torres
1705,Vaná Alves
1706,Gabrielzinho
1707,Marcos Acuña
1708,Rodrigo Battaglia
1709,Mattheus
1711,Fábio Coentrão
1712,Leonardo Ruiz
1713,Tomané
1714,Sebastián Rincón
1715,Diogo Figueiras
1716,Andrej Lukic
1717,Stephen Eustáquio
1718,Jonata
1719,Wendel
1720,Josip Misic
1721,Lumor
1722,Rúben Ribeiro
1723,Óscar Estupiñán
1724,Pedro Henrique
1731,Luis Manuel Orejuela
1734,Hirving Lozano
1736,Eloy Room
1742,Fredrik Midtsjö
1746,Nemanja Mihajlovic
1747,Denzel Dumfries
1750,Jamiro Monteiro
1751,Dario van den Buijs
1753,Karim Coulibaly
1754,Bartlomiej Urbanski
1757,Rai Vloet
1758,Rasmus Kristensen
1759,Nicolás Tagliafico
1761,Maximiliano Romero
1764,Ondrej Mihalik
1767,Josip Ilicic
1768,Andreas Cornelius
1774,Samuel Armenteros
1779,Raman Chibsah
1783,Saphir Taider
1784,César Falletti
1785,Giancarlo González
1787,Senna Miangue
1788,Paolo Faragò
1791,Alejandro Rodríguez
1793,Pawel Jaroszynski
1797,Aristóteles Romero
1801,Vitor Hugo
1802,Nikola Milenkovic
1803,Bruno Gaspar
1806,Carlos Sánchez
1807,Maximiliano Olivera
1814,Ricardo Centurión
1816,Thomas Rodríguez
1818,Seung-woo Lee
1820,Marco Fossati
1822,Matías Vecino
1823,Borja Valero
1826,Wojciech Szczesny
1827,Rodrigo Bentancur
1832,Pedro Neto
1833,Lucas Leiva
1834,Adam Marusic
1835,Bruno Jordão
1836,Felipe Caicedo
1839,André Silva
1841,Hakan Calhanoglu
1842,Lucas Biglia
1843,Mateo Musacchio
1853,Gastón Ramírez
1856,Duván Zapata
1857,Ivan Strinic
1864,Pa Konate
1866,Andrea Gemignani
1868,Lyanco
1869,Álex Berenguer
1872,Riad Bajić
1874,Antonin Barak
1878,Francisco Sierralta
1883,Cheick Diabaté
1884,Nehuén Paz
1886,Damir Ceter
1889,Daniel Bessa
1890,Iuri Medeiros
1894,Martín Cáceres
1895,Jonathan Silva
1896,Pol Lirola
1897,Khouma Babacar
1900,Everton Luiz
1901,Vitalie Damascan
1903,Léo Jabá
1904,Ismael Silva
1905,Ravanelli
1907,Wanderson
1908,Andrei Ivan
1909,Mihailo Ristic
1914,Zan Majer
1915,Pedro Rocha
1916,Georgi Tigiev
1918,Emiliano Rigoni
1920,Denis Terentjev
1922,Paul Anton
1923,Dostonbek Khamdamov
1925,Kristijan Bistrovic
1928,Fedor Chernykh
1931,Björn Sigurdarson
1933,Lukasz Sekulski
1935,Ionut Nedelcearu
1939,Anton Zabolotny
1940,Kevin Stewart
1943,Jon Toral
1944,Ondrej Mazuch
1946,Martin Braithwaite
1955,Sone Aluko
1961,Rui Fonte
1965,Marcelo Djaló
1967,Samu Saiz
1969,Pawel Cibicki
1988,Ahmed Elmohamady
1993,Matty Pearson
1995,Stevie Mallan
1997,Rúben Neves
1998,Roderick Miranda
2007,Jota
2025,Laurens De Bock
2026,Yosuke Ideguchi
2028,Onel Hernández
2032,Louis Moult
2036,Rafa Mir
2037,Ben Stevenson
2043,Tobias Figueiredo
2048,Danny Drinkwater
2050,Juan Foyth
2052,Bernardo Silva
2053,Douglas Luiz
2054,Olarenwaju Kayode
2055,Luka Ilic
2059,Romelu Lukaku
2060,Nemanja Matic
2061,Victor Lindelöf
2062,Gylfi Sigurdsson
2066,Nikola Vlasic
2067,Henry Onyekuru
2068,Sandro Ramírez
2072,Jay Rodríguez
2076,Marko Arnautovic
2077,Sead Haksabanovic
2079,Kelechi Iheanacho
2080,Adrien Silva
2081,Vicente Iborra
2083,Eldin Jakupovic
2084,Kurt Zouma
2086,Jairo Riedewald
2087,Roque Mesa
2093,Richarlison
2096,André Carrillo
2098,Javier Manquillo
2099,José Izquierdo
2100,Ezequiel Schelotto
2102,Ales Mateju
2103,Mathias Normann
2108,Zanka
2112,Lucas Moura
2118,Alexis Sánchez
2121,Daniel Sturridge
2125,Badou Ndiaye
2126,Jaroslaw Jach
2127,Dodi Lukebakio
2129,Martin Dubravka
2132,Theo Hernández
2133,Dani Ceballos
2134,Nélson Semedo
2135,Marlon
2136,Vitolo
2137,Simon Kjaer
2138,Guido Pizarro
2139,Éver Banega
2141,Lionel Carole
2142,Rúben Semedo
2143,Pablo Fornals
2145,Diego Llorente
2146,Mario Hermoso
2147,Dídac Vilà
2148,Burgui
2150,Guillermo Maripán
2151,Antonio Sivera
2152,Rubén Duarte
2153,Paulo Oliveira
2154,Marko Dmitrovic
2155,Joan Jordán
2156,Iván Alejo
2157,Emanuel Cecchini
2159,Diego González
2161,Gabriel Paulista
2162,Neto
2163,Andreas Pereira
2164,Fabián Orellana
2166,Maxi Gómez
2167,Zouhair Feddal
2168,Javi García
2169,Guilherme
2170,Juanfran
2171,Gerard Valentín
2173,Ezequiel Muñoz
2174,Tito
2175,Emmanuel Boateng
2178,Ivi López
2179,Oier Olazábal
2180,Bernardo Espinosa
2182,Djené
2183,Filip Manojlovic
2184,Álvaro Jiménez
2185,Dani Pacheco
2186,Mathí­as Olivera
2187,Chuli
2188,Bruno González
2189,Vitorino Antunes
2190,Philippe Coutinho
2191,Yerry Mina
2192,Diego Costa
2193,Guilherme Arana
2194,Roger Martínez
2195,Iñigo Martínez
2196,Ignasi Miquel
2198,Robert Mazan
2199,Jairo Samperio
2201,Choco Lozano
2203,Juan Ferney Otero
2204,Rafal Kurzawa
2207,Harrison Manzala
2209,Samuel Kalu
2210,Toma Basic
2218,Jonathan Ikoné
2219,Zeki Celik
